Candidate Name,Electoral District,LastName,Riding Number,Party,RidingLastName
Nancy Branscombe,London North Centre,Branscombe,44,Progressive Conservative Party of Ontario,44Branscombe
Judy Bryant,London North Centre,Bryant,44,New Democratic Party of Ontario,44Bryant
Kevin Labonte,London North Centre,Labonte,44,Green Party of Ontario,44Labonte
Salim Mansur,London North Centre,Mansur,44,Freedom Party of Ontario,44Mansur
Deb Matthews,London North Centre,Matthews,44,Ontario Liberal Party,44Matthews
Dave McKee,London North Centre,McKee,44,Communist Party of Canada (Ontario),44McKee
Michael Spottiswood,London North Centre,Spottiswood,44,Pauper Party of Ontario,44Spottiswood
Jeffrey Bennett,London West,Bennett,45,Progressive Conservative Party of Ontario,45Bennett
Al Gretzky,London West,Gretzky,45,Freedom Party of Ontario,45Gretzky
Keith McAlister,London West,McAlister,45,Green Party of Ontario,45McAlister
Peggy Sattler,London West,Sattler,45,New Democratic Party of Ontario,45Sattler
Nick Steinburg,London West,Steinburg,45,Ontario Liberal Party,45Steinburg
Teresa Armstrong,London--Fanshawe,Armstrong,43,New Democratic Party of Ontario,43Armstrong
Ali Hamadi,London--Fanshawe,Hamadi,43,INDEPENDENT,43Hamadi
Tim Harnick,London--Fanshawe,Harnick,43,Ontario Libertarian Party,43Harnick
Marcel Marcellin,London--Fanshawe,Marcellin,43,Ontario Liberal Party,43Marcellin
Paul McKeever,London--Fanshawe,McKeever,43,Freedom Party of Ontario,43McKeever
Chris Robson,London--Fanshawe,Robson,43,Progressive Conservative Party of Ontario,43Robson
William Sorrell,London--Fanshawe,Sorrell,43,Green Party of Ontario,43Sorrell
Michael Chan,Markham--Unionville,Chan,46,Ontario Liberal Party,46Chan
Nadine Kormos Hawkins,Markham--Unionville,Hawkins,46,New Democratic Party of Ontario,46Hawkins
Myles O'Brien,Markham--Unionville,O'Brien,46,Green Party of Ontario,46O'Brien
Allen Small,Markham--Unionville,Small,46,Ontario Libertarian Party,46Small
Shan Thayaparan,Markham--Unionville,Thayaparan,46,Progressive Conservative Party of Ontario,46Thayaparan
Dolly Catena,Mississauga East--Cooksville,Catena,48,Equal Parenting Party,48Catena
Zoran Churchin,Mississauga East--Cooksville,Churchin,48,Progressive Conservative Party of Ontario,48Churchin
Dipika Damerla,Mississauga East--Cooksville,Damerla,48,Ontario Liberal Party,48Damerla
